image_id,pred_instance_count,gt_instance_count,tp,fp,fn,object_precision,object_recall,object_f1,mean_matched_iou,merge_count,split_count,count_error,density_bucket,prediction_status,pred_file,gt_file
hurricane-michael_00000428,113,90,79,34,11,0.699115,0.877778,0.778325,0.771772,2,3,23,dense,present,hurricane-michael_00000428_pre_disaster.png,hurricane-michael_00000428_pre_disaster_target.png
hurricane-michael_00000429,51,51,46,5,5,0.901961,0.901961,0.901961,0.775978,1,1,0,dense,present,hurricane-michael_00000429_pre_disaster.png,hurricane-michael_00000429_pre_disaster_target.png
hurricane-michael_00000431,111,92,79,32,13,0.711712,0.858696,0.778325,0.78539,2,3,19,dense,present,hurricane-michael_00000431_pre_disaster.png,hurricane-michael_00000431_pre_disaster_target.png
hurricane-michael_00000436,42,37,31,11,6,0.738095,0.837838,0.78481,0.750894,0,1,5,dense,present,hurricane-michael_00000436_pre_disaster.png,hurricane-michael_00000436_pre_disaster_target.png
hurricane-michael_00000437,73,67,50,23,17,0.684932,0.746269,0.714286,0.815003,3,0,6,dense,present,hurricane-michael_00000437_pre_disaster.png,hurricane-michael_00000437_pre_disaster_target.png
hurricane-michael_00000447,142,148,121,21,27,0.852113,0.817568,0.834483,0.773272,2,0,-6,dense,present,hurricane-michael_00000447_pre_disaster.png,hurricane-michael_00000447_pre_disaster_target.png
hurricane-michael_00000450,40,43,32,8,11,0.8,0.744186,0.771084,0.767439,5,1,-3,dense,present,hurricane-michael_00000450_pre_disaster.png,hurricane-michael_00000450_pre_disaster_target.png
hurricane-michael_00000459,81,93,64,17,29,0.790123,0.688172,0.735632,0.723997,1,3,-12,dense,present,hurricane-michael_00000459_pre_disaster.png,hurricane-michael_00000459_pre_disaster_target.png
hurricane-michael_00000468,92,105,72,20,33,0.782609,0.685714,0.730964,0.742579,9,0,-13,dense,present,hurricane-michael_00000468_pre_disaster.png,hurricane-michael_00000468_pre_disaster_target.png
hurricane-michael_00000471,134,158,92,42,66,0.686567,0.582278,0.630137,0.726292,7,4,-24,dense,present,hurricane-michael_00000471_pre_disaster.png,hurricane-michael_00000471_pre_disaster_target.png
hurricane-michael_00000477,78,89,69,9,20,0.884615,0.775281,0.826347,0.785395,0,1,-11,dense,present,hurricane-michael_00000477_pre_disaster.png,hurricane-michael_00000477_pre_disaster_target.png
hurricane-michael_00000478,73,90,61,12,29,0.835616,0.677778,0.748466,0.799564,4,2,-17,dense,present,hurricane-michael_00000478_pre_disaster.png,hurricane-michael_00000478_pre_disaster_target.png
hurricane-michael_00000481,86,95,80,6,15,0.930233,0.842105,0.883978,0.782567,1,1,-9,dense,present,hurricane-michael_00000481_pre_disaster.png,hurricane-michael_00000481_pre_disaster_target.png
hurricane-michael_00000507,80,72,52,28,20,0.65,0.722222,0.684211,0.705724,3,4,8,dense,present,hurricane-michael_00000507_pre_disaster.png,hurricane-michael_00000507_pre_disaster_target.png
hurricane-michael_00000518,138,148,101,37,47,0.731884,0.682432,0.706294,0.758384,6,3,-10,dense,present,hurricane-michael_00000518_pre_disaster.png,hurricane-michael_00000518_pre_disaster_target.png
hurricane-michael_00000526,60,71,49,11,22,0.816667,0.690141,0.748092,0.824061,3,0,-11,dense,present,hurricane-michael_00000526_pre_disaster.png,hurricane-michael_00000526_pre_disaster_target.png
hurricane-michael_00000533,64,72,48,16,24,0.75,0.666667,0.705882,0.81081,0,3,-8,dense,present,hurricane-michael_00000533_pre_disaster.png,hurricane-michael_00000533_pre_disaster_target.png
hurricane-michael_00000534,12,10,4,8,6,0.333333,0.4,0.363636,0.833536,0,1,2,medium,present,hurricane-michael_00000534_pre_disaster.png,hurricane-michael_00000534_pre_disaster_target.png
hurricane-michael_00000544,11,10,5,6,5,0.454545,0.5,0.47619,0.789669,1,0,1,medium,present,hurricane-michael_00000544_pre_disaster.png,hurricane-michael_00000544_pre_disaster_target.png
hurricane-michael_00000545,29,28,27,2,1,0.931034,0.964286,0.947368,0.787134,0,1,1,medium,present,hurricane-michael_00000545_pre_disaster.png,hurricane-michael_00000545_pre_disaster_target.png
mexico-earthquake_00000005,139,158,82,57,76,0.589928,0.518987,0.552189,0.741676,25,12,-19,dense,present,mexico-earthquake_00000005_pre_disaster.png,mexico-earthquake_00000005_pre_disaster_target.png
mexico-earthquake_00000006,136,269,53,83,216,0.389706,0.197026,0.261728,0.707967,50,11,-133,dense,present,mexico-earthquake_00000006_pre_disaster.png,mexico-earthquake_00000006_pre_disaster_target.png
mexico-earthquake_00000010,184,146,99,85,47,0.538043,0.678082,0.6,0.740465,18,22,38,dense,present,mexico-earthquake_00000010_pre_disaster.png,mexico-earthquake_00000010_pre_disaster_target.png
mexico-earthquake_00000012,119,139,78,41,61,0.655462,0.561151,0.604651,0.762588,21,4,-20,dense,present,mexico-earthquake_00000012_pre_disaster.png,mexico-earthquake_00000012_pre_disaster_target.png
mexico-earthquake_00000022,71,48,30,41,18,0.422535,0.625,0.504202,0.743996,6,9,23,dense,present,mexico-earthquake_00000022_pre_disaster.png,mexico-earthquake_00000022_pre_disaster_target.png
mexico-earthquake_00000025,69,59,39,30,20,0.565217,0.661017,0.609375,0.752462,5,7,10,dense,present,mexico-earthquake_00000025_pre_disaster.png,mexico-earthquake_00000025_pre_disaster_target.png
mexico-earthquake_00000028,68,78,34,34,44,0.5,0.435897,0.465753,0.73715,11,10,-10,dense,present,mexico-earthquake_00000028_pre_disaster.png,mexico-earthquake_00000028_pre_disaster_target.png
mexico-earthquake_00000058,192,187,88,104,99,0.458333,0.470588,0.46438,0.697924,28,24,5,dense,present,mexico-earthquake_00000058_pre_disaster.png,mexico-earthquake_00000058_pre_disaster_target.png
mexico-earthquake_00000061,190,236,114,76,122,0.6,0.483051,0.535211,0.756006,37,10,-46,dense,present,mexico-earthquake_00000061_pre_disaster.png,mexico-earthquake_00000061_pre_disaster_target.png
mexico-earthquake_00000063,107,183,60,47,123,0.560748,0.327869,0.413793,0.733198,30,9,-76,dense,present,mexico-earthquake_00000063_pre_disaster.png,mexico-earthquake_00000063_pre_disaster_target.png
mexico-earthquake_00000065,144,135,82,62,53,0.569444,0.607407,0.587814,0.742373,17,18,9,dense,present,mexico-earthquake_00000065_pre_disaster.png,mexico-earthquake_00000065_pre_disaster_target.png
mexico-earthquake_00000069,61,129,21,40,108,0.344262,0.162791,0.221053,0.702893,20,6,-68,dense,present,mexico-earthquake_00000069_pre_disaster.png,mexico-earthquake_00000069_pre_disaster_target.png
mexico-earthquake_00000076,155,133,69,86,64,0.445161,0.518797,0.479167,0.718684,18,26,22,dense,present,mexico-earthquake_00000076_pre_disaster.png,mexico-earthquake_00000076_pre_disaster_target.png
mexico-earthquake_00000080,166,123,83,83,40,0.5,0.674797,0.574394,0.720028,10,25,43,dense,present,mexico-earthquake_00000080_pre_disaster.png,mexico-earthquake_00000080_pre_disaster_target.png
mexico-earthquake_00000090,55,65,21,34,44,0.381818,0.323077,0.35,0.748695,16,5,-10,dense,present,mexico-earthquake_00000090_pre_disaster.png,mexico-earthquake_00000090_pre_disaster_target.png
mexico-earthquake_00000094,92,100,33,59,67,0.358696,0.33,0.34375,0.676809,23,15,-8,dense,present,mexico-earthquake_00000094_pre_disaster.png,mexico-earthquake_00000094_pre_disaster_target.png
mexico-earthquake_00000095,52,29,20,32,9,0.384615,0.689655,0.493827,0.758715,2,4,23,medium,present,mexico-earthquake_00000095_pre_disaster.png,mexico-earthquake_00000095_pre_disaster_target.png
mexico-earthquake_00000106,10,10,7,3,3,0.7,0.7,0.7,0.808953,1,1,0,medium,present,mexico-earthquake_00000106_pre_disaster.png,mexico-earthquake_00000106_pre_disaster_target.png
mexico-earthquake_00000109,23,21,9,14,12,0.391304,0.428571,0.409091,0.798067,3,3,2,medium,present,mexico-earthquake_00000109_pre_disaster.png,mexico-earthquake_00000109_pre_disaster_target.png
mexico-earthquake_00000113,53,40,25,28,15,0.471698,0.625,0.537634,0.760329,2,6,13,dense,present,mexico-earthquake_00000113_pre_disaster.png,mexico-earthquake_00000113_pre_disaster_target.png
mexico-earthquake_00000117,173,414,58,115,356,0.33526,0.140097,0.197615,0.695996,66,19,-241,dense,present,mexico-earthquake_00000117_pre_disaster.png,mexico-earthquake_00000117_pre_disaster_target.png
mexico-earthquake_00000121,147,135,57,90,78,0.387755,0.422222,0.404255,0.729185,25,25,12,dense,present,mexico-earthquake_00000121_pre_disaster.png,mexico-earthquake_00000121_pre_disaster_target.png
mexico-earthquake_00000124,140,132,61,79,71,0.435714,0.462121,0.448529,0.709596,13,18,8,dense,present,mexico-earthquake_00000124_pre_disaster.png,mexico-earthquake_00000124_pre_disaster_target.png
mexico-earthquake_00000131,188,189,123,65,66,0.654255,0.650794,0.65252,0.750498,15,19,-1,dense,present,mexico-earthquake_00000131_pre_disaster.png,mexico-earthquake_00000131_pre_disaster_target.png
mexico-earthquake_00000135,117,216,54,63,162,0.461538,0.25,0.324324,0.712189,42,10,-99,dense,present,mexico-earthquake_00000135_pre_disaster.png,mexico-earthquake_00000135_pre_disaster_target.png
mexico-earthquake_00000139,64,202,19,45,183,0.296875,0.094059,0.142857,0.72702,20,1,-138,dense,present,mexico-earthquake_00000139_pre_disaster.png,mexico-earthquake_00000139_pre_disaster_target.png
mexico-earthquake_00000157,65,49,22,43,27,0.338462,0.44898,0.385965,0.69044,9,12,16,dense,present,mexico-earthquake_00000157_pre_disaster.png,mexico-earthquake_00000157_pre_disaster_target.png
mexico-earthquake_00000161,132,144,67,65,77,0.507576,0.465278,0.485507,0.702342,25,11,-12,dense,present,mexico-earthquake_00000161_pre_disaster.png,mexico-earthquake_00000161_pre_disaster_target.png
mexico-earthquake_00000163,249,187,134,115,53,0.538153,0.716578,0.614679,0.743022,15,34,62,dense,present,mexico-earthquake_00000163_pre_disaster.png,mexico-earthquake_00000163_pre_disaster_target.png
mexico-earthquake_00000169,4,5,4,0,1,1.0,0.8,0.888889,0.82815,0,0,-1,medium,present,mexico-earthquake_00000169_pre_disaster.png,mexico-earthquake_00000169_pre_disaster_target.png
mexico-earthquake_00000174,56,53,26,30,27,0.464286,0.490566,0.477064,0.727566,11,4,3,dense,present,mexico-earthquake_00000174_pre_disaster.png,mexico-earthquake_00000174_pre_disaster_target.png
mexico-earthquake_00000178,48,64,28,20,36,0.583333,0.4375,0.5,0.709277,13,0,-16,dense,present,mexico-earthquake_00000178_pre_disaster.png,mexico-earthquake_00000178_pre_disaster_target.png
mexico-earthquake_00000180,146,136,74,72,62,0.506849,0.544118,0.524823,0.704797,19,18,10,dense,present,mexico-earthquake_00000180_pre_disaster.png,mexico-earthquake_00000180_pre_disaster_target.png
mexico-earthquake_00000183,214,292,101,113,191,0.471963,0.34589,0.399209,0.705971,58,18,-78,dense,present,mexico-earthquake_00000183_pre_disaster.png,mexico-earthquake_00000183_pre_disaster_target.png
mexico-earthquake_00000187,157,163,87,70,76,0.55414,0.533742,0.54375,0.720179,27,10,-6,dense,present,mexico-earthquake_00000187_pre_disaster.png,mexico-earthquake_00000187_pre_disaster_target.png
mexico-earthquake_00000188,122,258,44,78,214,0.360656,0.170543,0.231579,0.698257,31,9,-136,dense,present,mexico-earthquake_00000188_pre_disaster.png,mexico-earthquake_00000188_pre_disaster_target.png
